year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0.183099,ford,'m-galaxie 500',good,6,gas,0,rebuilt,automatic,fwd,full-size,other,blue,6500
0.183099,chevrolet,m-impala,fair,6,gas,0.0073,clean,manual,rwd,full-size,sedan,green,7500
0.183099,ford,m-f100,good,8,gas,0.0122,clean,manual,rwd,full-size,pickup,green,12000
0.183099,pontiac,m-catalina,'like new',8,gas,0.018,clean,automatic,rwd,full-size,sedan,red,15000
0.183099,ford,'m-galaxie 500 convertible',excellent,8,gas,0.009,clean,automatic,rwd,full-size,convertible,black,16900
0.183099,chevrolet,'m-ii nova ss',excellent,8,gas,0.0028,clean,automatic,rwd,mid-size,coupe,grey,20000
0.183099,chevrolet,m-biscayne,good,8,gas,0.007035,clean,automatic,rwd,full-size,sedan,grey,22000
0.183099,chevrolet,m-biscayne,good,8,gas,0.007035,clean,automatic,rwd,full-size,sedan,grey,22000
0.183099,chevrolet,m-impala,excellent,8,gas,0.003297,clean,automatic,rwd,full-size,sedan,green,25000
0.183099,dodge,'m-m37 powerwagon mopar',good,'4',diesel,0.0053,clean,manual,4wd,full-size,truck,green,25000
0.183099,lincoln,m-continental,excellent,8,gas,0.00743,clean,automatic,rwd,full-size,sedan,silver,32500
0.183099,lincoln,m-continental,excellent,8,gas,0.00743,clean,automatic,rwd,full-size,sedan,silver,32500
0.197183,chevrolet,m-corvan,fair,6,gas,0.055556,clean,manual,rwd,full-size,van,blue,1200
0.197183,ford,m-f500,excellent,8,gas,0.0036,clean,manual,rwd,full-size,truck,blue,4000
0.197183,ford,'m-fairlane 500',good,8,gas,0.007248,clean,other,rwd,mid-size,coupe,red,4800
0.197183,ford,'m-fairlane 500',excellent,6,gas,0.001,clean,automatic,rwd,full-size,sedan,white,5000
0.197183,cadillac,'m-convertible project',good,8,gas,0.01,clean,automatic,rwd,full-size,convertible,black,13000
0.197183,chevrolet,m-nova,excellent,8,gas,0.01,clean,manual,rwd,mid-size,coupe,grey,15000
0.197183,ford,'m-galaxie 500 xl',good,8,gas,0.0087,clean,automatic,rwd,full-size,coupe,white,19500
0.197183,mercedes-benz,'m-benz unimog',excellent,6,gas,0.00368,missing,manual,4wd,full-size,SUV,green,20000
0.197183,mercedes-benz,'m-benz unimog',excellent,6,gas,0.00368,missing,manual,4wd,full-size,SUV,green,20000
0.197183,dodge,'m-dart. gt','like new',8,gas,0.001996,clean,manual,rwd,mid-size,coupe,blue,22000
0.197183,ford,m-f-100,good,8,gas,0.010806,clean,automatic,rwd,full-size,truck,green,25800
0.197183,chevrolet,'m-chevelle malibu',excellent,8,gas,0.0019,clean,automatic,rwd,mid-size,coupe,red,29300
0.197183,chevrolet,m-panel,'like new',8,gas,0.000003,clean,automatic,rwd,full-size,wagon,custom,35999
0.197183,chevrolet,'m-impala ss',good,8,gas,0.000778,clean,manual,rwd,full-size,other,blue,52000
0.211268,ford,'m-f 250',fair,8,gas,0.0072,missing,manual,rwd,full-size,truck,green,2975
0.211268,ford,m-thunderbird,fair,8,gas,0.0077,clean,automatic,rwd,full-size,coupe,custom,4500
0.211268,chevrolet,'m-el camino',fair,8,gas,0.00742,clean,automatic,rwd,full-size,other,black,6000
0.211268,volkswagen,m-beetle,good,'4',gas,0.0078,clean,manual,rwd,compact,coupe,blue,7000
0.211268,chevrolet,'m-chevelle 300 deluxe',excellent,6,gas,0.0089,clean,automatic,rwd,full-size,sedan,grey,7800
0.211268,chevrolet,m-corvair,excellent,6,gas,0.0108,clean,manual,rwd,compact,sedan,white,8500
0.211268,mercury,'m-comet caliente',excellent,8,gas,0.005988,clean,automatic,rwd,full-size,sedan,black,9950
0.211268,cadillac,'m-coupe deville',excellent,8,gas,0.000697,clean,automatic,rwd,full-size,sedan,white,12000
0.211268,ford,'m-galaxy ltd',good,8,gas,0.00155,clean,automatic,rwd,full-size,sedan,white,12500
0.211268,ford,m-tunderbird,excellent,8,gas,0.01035,clean,automatic,rwd,mid-size,coupe,green,12800
0.211268,ford,m-thunderbird,excellent,8,gas,0.01117,clean,automatic,rwd,full-size,coupe,white,13500
0.211268,ford,m-mustang,excellent,8,gas,0.004189,clean,automatic,rwd,full-size,coupe,white,14500
0.211268,buick,m-skylark,excellent,8,gas,0.001234,clean,automatic,rwd,full-size,coupe,blue,16500
0.211268,mercedes-benz,'m-benz 190c',excellent,'4',gas,0.000035,clean,automatic,rwd,full-size,sedan,grey,21500
0.211268,mercedes-benz,'m-220s - 3.0',excellent,6,gas,0.001565,clean,automatic,rwd,full-size,sedan,grey,22500
0.211268,chevrolet,m-chevelle,excellent,8,gas,0.0052,clean,manual,rwd,full-size,coupe,red,32000
0.211268,chevrolet,m-malibu,excellent,8,gas,0.00592,clean,automatic,rwd,mid-size,coupe,white,40000
0.211268,chevrolet,m-corvette,excellent,8,gas,0.0077,clean,manual,rwd,compact,convertible,green,59000
0.211268,dodge,m-coronet,good,8,gas,0,clean,manual,rwd,compact,other,blue,65000
0.225352,jeep,m-gladiator,good,8,gas,0.01612,clean,manual,4wd,full-size,truck,red,2995
0.225352,ford,m-thunderbird,good,8,gas,0.000123,clean,automatic,fwd,full-size,coupe,red,4000
0.225352,ford,m-f-150,good,8,gas,0.0064,clean,automatic,rwd,full-size,pickup,grey,4800
0.225352,dodge,m-charger,fair,8,gas,0.01,clean,automatic,rwd,full-size,coupe,white,4800
0.225352,ford,m-mustang,fair,6,gas,0.010772,clean,automatic,rwd,mid-size,coupe,yellow,5500
0.225352,ford,m-f250,good,8,gas,0.0055,clean,manual,rwd,full-size,truck,brown,7000
0.225352,ford,m-mustang,fair,8,gas,0.007252,clean,automatic,rwd,mid-size,coupe,green,7500
0.225352,chevrolet,m-k-20,good,8,gas,0.001106,missing,automatic,4wd,full-size,truck,green,8500
0.225352,chevrolet,m-ii,good,6,gas,0.00001,clean,manual,rwd,compact,coupe,blue,8500
0.225352,chevrolet,'m-ii nova',good,6,gas,0.00001,clean,manual,rwd,mid-size,coupe,blue,8500
0.225352,jeep,'m-willys cj-5',excellent,6,gas,0.01,clean,manual,4wd,full-size,offroad,blue,8600
0.225352,chevrolet,'m-ii nova',good,6,gas,0.00001,clean,manual,rwd,mid-size,coupe,blue,10000
0.225352,ford,m-thunderbird,excellent,8,gas,0.0042,clean,automatic,rwd,full-size,coupe,custom,12995
0.225352,cadillac,'m-sedan deville',good,8,gas,0.0121,clean,automatic,rwd,full-size,sedan,blue,13995
0.225352,ford,m-thunderbird,excellent,8,gas,0.0039,clean,automatic,rwd,mid-size,coupe,blue,17000
0.225352,ford,m-thunderbird,excellent,8,gas,0.007137,clean,automatic,rwd,full-size,coupe,red,18800
0.225352,dodge,m-charger,excellent,8,gas,0.0038,clean,manual,rwd,full-size,coupe,black,28000
0.225352,chevrolet,m-chevelle,good,8,gas,0.001,clean,manual,rwd,full-size,coupe,red,28500
0.225352,chevrolet,'m-el camino','like new',8,gas,0.0009,clean,manual,rwd,full-size,coupe,white,29900
0.225352,ford,'m-fairlane 500',good,8,gas,0.012346,clean,automatic,rwd,mid-size,sedan,custom,30000
0.225352,chevrolet,m-nova,excellent,8,gas,0.0024,clean,automatic,rwd,mid-size,coupe,custom,32000
0.225352,ford,'m-mustang convertible',excellent,8,gas,0.0099,clean,automatic,rwd,mid-size,convertible,blue,38950
0.225352,ford,'m-mustang fastback',excellent,8,gas,0.0087,clean,manual,rwd,full-size,hatchback,white,48000
0.239437,ford,m-thunderbird,good,8,gas,0.0055,clean,automatic,rwd,full-size,coupe,white,4200
0.239437,pontiac,'m-grand prix',fair,8,gas,0.0075,clean,automatic,rwd,full-size,coupe,blue,4500
0.239437,chevrolet,m-corvair,good,6,gas,0.009,clean,automatic,rwd,compact,coupe,blue,5000
0.239437,mercury,m-cougar,good,8,gas,0.0067,clean,automatic,rwd,compact,coupe,green,6200
0.239437,chevrolet,m-c20,good,8,gas,0.0001,clean,manual,rwd,full-size,pickup,green,7000
0.239437,ford,'m-fairlane 500',good,8,gas,0.01,clean,manual,rwd,mid-size,coupe,blue,7500
0.239437,volkswagen,m-beetle,good,'4',gas,0.00425,clean,manual,rwd,compact,coupe,blue,8500
0.239437,ford,m-mustang,fair,8,gas,0.007,clean,other,rwd,full-size,convertible,red,15000
0.239437,ford,'m-galaxie 500',excellent,8,gas,0.0035,clean,automatic,rwd,full-size,convertible,red,15000
0.239437,ford,m-f100,excellent,6,gas,0.001265,clean,automatic,rwd,full-size,truck,custom,18000
0.239437,dodge,'m-coronet 440',good,8,gas,0.0119,clean,automatic,rwd,full-size,convertible,red,27000
0.239437,pontiac,m-gto,excellent,8,gas,0.0104,clean,automatic,rwd,full-size,coupe,red,45000
0.239437,ford,m-bronco,excellent,8,gas,0.00008,rebuilt,automatic,4wd,full-size,offroad,red,60000
0.239437,porsche,m-911,excellent,6,gas,0.00847,clean,manual,rwd,sub-compact,coupe,black,65900
0.253521,mercury,m-montego,good,8,gas,0.004343,clean,automatic,rwd,mid-size,coupe,yellow,1500
0.253521,chevrolet,m-stawagon,good,8,gas,0.012288,clean,automatic,rwd,full-size,wagon,white,2200
0.253521,ford,'m-galaxie 500',good,8,gas,0.001234,clean,automatic,rwd,full-size,coupe,grey,6000
0.253521,chrysler,m-300,good,8,gas,0,clean,automatic,rwd,full-size,coupe,green,6250
0.253521,ford,m-f100,good,8,gas,0.019685,clean,manual,rwd,full-size,truck,grey,6500
0.253521,mercedes-benz,'m-benz 200d',good,'4',diesel,0.0026,clean,automatic,rwd,full-size,sedan,custom,7200
0.253521,mercury,m-cougar,fair,8,gas,0.0142,clean,automatic,rwd,mid-size,coupe,blue,8000
0.253521,chevrolet,'m-corvair monza',good,6,gas,0.0055,clean,automatic,rwd,compact,sedan,green,8000
0.253521,chevrolet,m-truck,good,8,gas,0.0009,clean,automatic,rwd,full-size,truck,black,8500
0.253521,chevrolet,m-pick-up,good,8,gas,0.0009,clean,automatic,rwd,full-size,truck,black,8500
0.253521,ford,'m-fairlane ranchero',excellent,8,gas,0.01,clean,automatic,fwd,compact,other,green,8500
0.253521,chevrolet,'m-c20 panel',good,6,gas,0.00028,clean,manual,rwd,full-size,other,custom,8500
0.253521,chevrolet,'m-c10 pickup',excellent,8,gas,0.0039,clean,automatic,rwd,full-size,pickup,black,8995
0.253521,ford,m-torino,fair,8,gas,0.0028,clean,automatic,rwd,full-size,sedan,black,10000
0.253521,chrysler,m-newport,good,8,gas,0.00921,clean,automatic,rwd,full-size,convertible,blue,10500
0.253521,volkswagen,m-beetle,'like new','4',gas,0.0001,clean,manual,rwd,compact,convertible,purple,11500
