year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0.211268,chevrolet,'m-chevelle 300 deluxe',0.6,'6 cylinders',gas,0.0089,1,automatic,0.667,full-size,sedan,grey,7800
0.211268,chevrolet,m-corvair,0.6,'6 cylinders',gas,0.0108,1,manual,0.667,compact,sedan,white,8500
0.211268,mercury,'m-comet ca0.5te',0.6,'8 cylinders',gas,0.005988,1,automatic,0.667,full-size,sedan,black,9950
0.211268,cadillac,'m-coupe deville',0.6,'8 cylinders',gas,0.000697,1,automatic,0.667,full-size,sedan,white,12000
0.211268,ford,'m-galaxy ltd',0.4,'8 cylinders',gas,0.00155,1,automatic,0.667,full-size,sedan,white,12500
0.211268,ford,m-tunderbird,0.6,'8 cylinders',gas,0.01035,1,automatic,0.667,mid-size,coupe,green,12800
0.211268,ford,m-thunderbird,0.6,'8 cylinders',gas,0.01117,1,automatic,0.667,full-size,coupe,white,13500
0.211268,ford,m-mustang,0.6,'8 cylinders',gas,0.004189,1,automatic,0.667,full-size,coupe,white,14500
0.211268,buick,m-skylark,0.6,'8 cylinders',gas,0.001234,1,automatic,0.667,full-size,coupe,blue,16500
0.211268,mercedes-benz,'m-benz 190c',0.6,'4 cylinders',gas,0.000035,1,automatic,0.667,full-size,sedan,grey,21500
0.211268,mercedes-benz,'m-220s - 3.0',0.6,'6 cylinders',gas,0.001565,1,automatic,0.667,full-size,sedan,grey,22500
0.211268,chevrolet,m-chevelle,0.6,'8 cylinders',gas,0.0052,1,manual,0.667,full-size,coupe,red,32000
0.211268,chevrolet,m-malibu,0.6,'8 cylinders',gas,0.00592,1,automatic,0.667,mid-size,coupe,white,40000
0.211268,chevrolet,m-corvette,0.6,'8 cylinders',gas,0.0077,1,manual,0.667,compact,convertible,green,59000
0.211268,dodge,m-coronet,0.4,'8 cylinders',gas,0,1,manual,0.667,compact,other,blue,65000
0.225352,jeep,m-gladiator,0.4,'8 cylinders',gas,0.01612,1,manual,1,full-size,truck,red,2995
0.225352,ford,m-thunderbird,0.4,'8 cylinders',gas,0.000123,1,automatic,0.333,full-size,coupe,red,4000
0.225352,ford,m-f-150,0.4,'8 cylinders',gas,0.0064,1,automatic,0.667,full-size,pickup,grey,4800
0.225352,dodge,m-charger,0.2,'8 cylinders',gas,0.01,1,automatic,0.667,full-size,coupe,white,4800
0.225352,ford,m-mustang,0.2,'6 cylinders',gas,0.010772,1,automatic,0.667,mid-size,coupe,yellow,5500
0.225352,ford,m-f250,0.4,'8 cylinders',gas,0.0055,1,manual,0.667,full-size,truck,brown,7000
0.225352,ford,m-mustang,0.2,'8 cylinders',gas,0.007252,1,automatic,0.667,mid-size,coupe,green,7500
0.225352,chevrolet,m-k-20,0.4,'8 cylinders',gas,0.001106,0,automatic,1,full-size,truck,green,8500
0.225352,chevrolet,m-ii,0.4,'6 cylinders',gas,0.00001,1,manual,0.667,compact,coupe,blue,8500
0.225352,chevrolet,'m-ii nova',0.4,'6 cylinders',gas,0.00001,1,manual,0.667,mid-size,coupe,blue,8500
0.225352,jeep,'m-willys cj-5',0.6,'6 cylinders',gas,0.01,1,manual,1,full-size,offroad,blue,8600
0.225352,chevrolet,'m-ii nova',0.4,'6 cylinders',gas,0.00001,1,manual,0.667,mid-size,coupe,blue,10000
0.225352,ford,m-thunderbird,0.6,'8 cylinders',gas,0.0042,1,automatic,0.667,full-size,coupe,custom,12995
