year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0.211268,chevrolet,chevelle,excellent,8,gas,0.0052,clean,manual,rwd,full-size,coupe,red,32000
0.211268,chevrolet,malibu,excellent,8,gas,0.00592,clean,automatic,rwd,mid-size,coupe,white,40000
0.211268,chevrolet,corvette,excellent,8,gas,0.0077,clean,manual,rwd,compact,convertible,green,59000
0.211268,dodge,coronet,good,8,gas,0.0,clean,manual,rwd,compact,sedan,blue,65000
0.225352,jeep,gladiator,good,8,gas,0.01612,clean,manual,4wd,full-size,truck,red,2995
0.225352,ford,thunderbird,good,8,gas,0.000123,clean,automatic,fwd,full-size,coupe,red,4000
0.225352,ford,f-150,good,8,gas,0.0064,clean,automatic,rwd,full-size,pickup,grey,4800
0.225352,dodge,charger,fair,8,gas,0.01,clean,automatic,rwd,full-size,coupe,white,4800
0.225352,ford,mustang,fair,6,gas,0.010772,clean,automatic,rwd,mid-size,coupe,yellow,5500
0.225352,ford,f250,good,8,gas,0.0055,clean,manual,rwd,full-size,truck,brown,7000
0.225352,ford,mustang,fair,8,gas,0.007252,clean,automatic,rwd,mid-size,coupe,green,7500
0.225352,chevrolet,k-20,good,8,gas,0.001106,missing,automatic,4wd,full-size,truck,green,8500
0.225352,chevrolet,ii,good,6,gas,1e-05,clean,manual,rwd,compact,coupe,blue,8500
0.225352,chevrolet,ii nova',good,6,gas,1e-05,clean,manual,rwd,mid-size,coupe,blue,8500
0.225352,jeep,willys cj-5',excellent,6,gas,0.01,clean,manual,4wd,full-size,offroad,blue,8600
0.225352,chevrolet,ii nova',good,6,gas,1e-05,clean,manual,rwd,mid-size,coupe,blue,10000
0.225352,ford,thunderbird,excellent,8,gas,0.0042,clean,automatic,rwd,full-size,coupe,custom,12995
0.225352,cadillac,sedan deville',good,8,gas,0.0121,clean,automatic,rwd,full-size,sedan,blue,13995
0.225352,ford,thunderbird,excellent,8,gas,0.0039,clean,automatic,rwd,mid-size,coupe,blue,17000
0.225352,ford,thunderbird,excellent,8,gas,0.007137,clean,automatic,rwd,full-size,coupe,red,18800
0.225352,dodge,charger,excellent,8,gas,0.0038,clean,manual,rwd,full-size,coupe,black,28000
0.225352,chevrolet,chevelle,good,8,gas,0.001,clean,manual,rwd,full-size,coupe,red,28500
0.225352,chevrolet,el camino','like new',8,gas,0.0009,clean,manual,rwd,full-size,coupe,white,29900
0.225352,ford,fairlane 500',good,8,gas,0.012346,clean,automatic,rwd,mid-size,sedan,custom,30000
0.225352,chevrolet,nova,excellent,8,gas,0.0024,clean,automatic,rwd,mid-size,coupe,custom,32000
0.225352,ford,mustang convertible',excellent,8,gas,0.0099,clean,automatic,rwd,mid-size,convertible,blue,38950
0.225352,ford,mustang fastback',excellent,8,gas,0.0087,clean,manual,rwd,full-size,hatchback,white,48000
0.239437,ford,thunderbird,good,8,gas,0.0055,clean,automatic,rwd,full-size,coupe,white,4200
0.239437,pontiac,grand prix',fair,8,gas,0.0075,clean,automatic,rwd,full-size,coupe,blue,4500
0.239437,chevrolet,corvair,good,6,gas,0.009,clean,automatic,rwd,compact,coupe,blue,5000
0.239437,mercury,cougar,good,8,gas,0.0067,clean,automatic,rwd,compact,coupe,green,6200
0.239437,chevrolet,c20,good,8,gas,0.0001,clean,manual,rwd,full-size,pickup,green,7000
0.239437,ford,fairlane 500',good,8,gas,0.01,clean,manual,rwd,mid-size,coupe,blue,7500
0.239437,volkswagen,beetle,good,4,gas,0.00425,clean,manual,rwd,compact,coupe,blue,8500
0.239437,ford,mustang,fair,8,gas,0.007,clean,automatic,rwd,full-size,convertible,red,15000
0.239437,ford,galaxie 500',excellent,8,gas,0.0035,clean,automatic,rwd,full-size,convertible,red,15000
0.239437,ford,f100,excellent,6,gas,0.001265,clean,automatic,rwd,full-size,truck,custom,18000
0.239437,dodge,coronet 440',good,8,gas,0.0119,clean,automatic,rwd,full-size,convertible,red,27000
0.239437,pontiac,gto,excellent,8,gas,0.0104,clean,automatic,rwd,full-size,coupe,red,45000
0.239437,ford,bronco,excellent,8,gas,8e-05,rebuilt,automatic,4wd,full-size,offroad,red,60000
0.239437,porsche,911,excellent,6,gas,0.00847,clean,manual,rwd,sub-compact,coupe,black,65900
0.253521,mercury,montego,good,8,gas,0.004343,clean,automatic,rwd,mid-size,coupe,yellow,1500
0.253521,chevrolet,stawagon,good,8,gas,0.012288,clean,automatic,rwd,full-size,wagon,white,2200
0.253521,ford,galaxie 500',good,8,gas,0.001234,clean,automatic,rwd,full-size,coupe,grey,6000
0.253521,chrysler,300,good,8,gas,0.0,clean,automatic,rwd,full-size,coupe,green,6250
0.253521,ford,f100,good,8,gas,0.019685,clean,manual,rwd,full-size,truck,grey,6500
0.253521,mercedes-benz,benz 200d',good,4,diesel,0.0026,clean,automatic,rwd,full-size,sedan,custom,7200
0.253521,mercury,cougar,fair,8,gas,0.0142,clean,automatic,rwd,mid-size,coupe,blue,8000
0.253521,chevrolet,corvair monza',good,6,gas,0.0055,clean,automatic,rwd,compact,sedan,green,8000
0.253521,chevrolet,truck,good,8,gas,0.0009,clean,automatic,rwd,full-size,truck,black,8500
0.253521,chevrolet,pick-up,good,8,gas,0.0009,clean,automatic,rwd,full-size,truck,black,8500
0.253521,ford,fairlane ranchero',excellent,8,gas,0.01,clean,automatic,fwd,compact,sedan,green,8500
0.253521,chevrolet,c20 panel',good,6,gas,0.00028,clean,manual,rwd,full-size,sedan,custom,8500
0.253521,chevrolet,c10 pickup',excellent,8,gas,0.0039,clean,automatic,rwd,full-size,pickup,black,8995
0.253521,ford,torino,fair,8,gas,0.0028,clean,automatic,rwd,full-size,sedan,black,10000
0.253521,chrysler,newport,good,8,gas,0.00921,clean,automatic,rwd,full-size,convertible,blue,10500
0.253521,volkswagen,beetle,'like new',4,gas,0.0001,clean,manual,rwd,compact,convertible,purple,11500
0.253521,volkswagen,bug,good,4,gas,0.0001,clean,manual,rwd,compact,coupe,green,14900
0.253521,chevrolet,c10,good,8,gas,0.009027,clean,automatic,fwd,full-size,pickup,green,14950
0.253521,mercury,cougar xr7',excellent,8,gas,0.0021,clean,automatic,rwd,mid-size,coupe,blue,16000
0.253521,buick,skylark convertible',good,8,gas,0.0047,clean,automatic,rwd,full-size,convertible,white,17000
0.253521,chevrolet,c10,'like new',8,gas,0.002,clean,manual,rwd,full-size,pickup,custom,18000
0.253521,chevrolet,el camino',good,8,gas,0.0025,clean,automatic,rwd,mid-size,pickup,white,24975
0.253521,chevrolet,camaro,good,8,gas,0.008,clean,automatic,rwd,full-size,coupe,black,28000
0.253521,buick,gs 400',excellent,8,gas,0.011733,clean,automatic,rwd,full-size,convertible,blue,34975
0.253521,chevrolet,chevelle,excellent,8,gas,0.0008,clean,automatic,fwd,full-size,coupe,green,35000
0.253521,ford,mustang fastback',excellent,8,gas,0.0093,clean,manual,fwd,mid-size,sedan,red,36000
0.253521,pontiac,gto convertible',good,8,gas,0.008854,clean,automatic,rwd,mid-size,convertible,green,42000
0.253521,dodge,coronet r-t','like new',8,gas,0.00021,clean,automatic,rwd,mid-size,coupe,orange,55000
0.253521,chevrolet,camar,'like new',8,gas,0.00025,clean,automatic,rwd,mid-size,coupe,grey,67500
0.253521,chevrolet,corvette,excellent,8,gas,0.001048,clean,manual,4wd,full-size,coupe,blue,125000
0.267606,chevrolet,c-10 pickup',fair,8,gas,0.0262,clean,manual,rwd,full-size,pickup,grey,1650
0.267606,ford,f250,fair,8,gas,0.007165,clean,automatic,fwd,full-size,truck,white,2450
0.267606,volkswagen,dune buggy',fair,4,gas,0.0024,clean,manual,rwd,sub-compact,convertible,yellow,3450
0.267606,toyota,corona,good,4,gas,0.1,clean,automatic,rwd,compact,coupe,blue,3500
0.267606,buick,electra 225',excellent,8,gas,0.01,clean,automatic,rwd,full-size,convertible,custom,6000
0.267606,dodge,d200,excellent,6,gas,0.0021,clean,manual,rwd,full-size,truck,green,6500
0.267606,ford,gran torino',good,8,gas,0.01,clean,automatic,rwd,full-size,convertible,blue,7500
0.267606,lincoln,continental mk iii',good,8,gas,0.0025,rebuilt,automatic,rwd,full-size,coupe,black,7900
0.267606,ford,f250 camper special',fair,8,gas,0.0075,clean,automatic,rwd,full-size,truck,red,8000
0.267606,toyota,land cruiser',good,6,gas,0.0032,clean,manual,4wd,full-size,offroad,white,8500
0.267606,chevrolet,corvette,fair,8,gas,0.0052,clean,manual,rwd,mid-size,coupe,custom,10000
0.267606,ford,fairlane 500',excellent,8,gas,0.00635,clean,automatic,rwd,mid-size,coupe,white,12000
0.267606,ford,galaxie 500 xl',good,8,gas,0.005994,clean,automatic,rwd,full-size,sedan,white,12500
0.267606,volkswagen,beetle,excellent,4,gas,0.0003,clean,manual,rwd,compact,coupe,white,13000
0.267606,ford,f250 ranger',excellent,8,gas,0.016,clean,automatic,rwd,full-size,truck,custom,13000
0.267606,jeep,cj5,excellent,6,gas,0.01,clean,manual,4wd,full-size,sedan,orange,14500
0.267606,pontiac,gto,fair,8,gas,0.1,clean,manual,rwd,mid-size,coupe,blue,15000
0.267606,buick,electra 225',good,8,gas,0.012,clean,automatic,rwd,full-size,convertible,red,15000
0.267606,chevrolet,chevelle concours',good,8,gas,0.01025,clean,automatic,rwd,mid-size,wagon,green,15000
